"block","date","time","balance"
"3,736,483","2021/10/03 10:27:19 +02:00","1633249639","20997696.4481 RBTC"
"3,735,955","2021/10/03 06:05:05 +02:00","1633233905","20997697.4074 RBTC"
"3,735,617","2021/10/03 03:12:25 +02:00","1633223545","20997694.4074 RBTC"
"3,735,212","2021/10/02 23:43:21 +02:00","1633211001","20997694.5374 RBTC"
"3,735,239","2021/10/02 23:56:20 +02:00","1633211780","20997694.6174 RBTC"
"3,734,240","2021/10/02 15:12:38 +02:00","1633180358","20997694.4284 RBTC"
"3,733,827","2021/10/02 11:33:37 +02:00","1633167217","20997694.4924 RBTC"
"3,732,235","2021/10/01 21:51:43 +02:00","1633117903","20997694.5924 RBTC"
"3,730,944","2021/10/01 10:03:44 +02:00","1633075424","20997694.6093 RBTC"
"3,730,255","2021/10/01 03:54:35 +02:00","1633053275","20997694.5194 RBTC"
"3,729,767","2021/09/30 23:31:22 +02:00","1633037482","20997724.5194 RBTC"
"3,729,336","2021/09/30 19:44:20 +02:00","1633023860","20997724.4794 RBTC"
"3,728,663","2021/09/30 13:44:46 +02:00","1633002286","20997724.4695 RBTC"
"3,728,199","2021/09/30 09:36:30 +02:00","1632987390","20997709.4695 RBTC"
"3,728,118","2021/09/30 08:54:50 +02:00","1632984890","20997729.4695 RBTC"
"3,727,374","2021/09/30 02:34:56 +02:00","1632962096","20997729.4942 RBTC"
"3,726,758","2021/09/29 21:18:46 +02:00","1632943126","20997729.1896 RBTC"
"3,726,643","2021/09/29 20:21:21 +02:00","1632939681","20997729.4395 RBTC"
"3,726,481","2021/09/29 18:57:24 +02:00","1632934644","20997732.4593 RBTC"
"3,726,560","2021/09/29 19:36:07 +02:00","1632936967","20997729.4599 RBTC"
"3,725,826","2021/09/29 12:43:37 +02:00","1632912217","20997762.4593 RBTC"
"3,725,490","2021/09/29 09:37:14 +02:00","1632901034","20997767.4588 RBTC"
"3,724,398","2021/09/29 00:06:31 +02:00","1632866791","20997767.4638 RBTC"
"3,723,862","2021/09/28 19:12:45 +02:00","1632849165","20997770.4633 RBTC"
"3,723,211","2021/09/28 13:21:20 +02:00","1632828080","20997766.9933 RBTC"
"3,722,844","2021/09/28 09:57:35 +02:00","1632815855","20997770.6925 RBTC"
"3,722,875","2021/09/28 10:15:52 +02:00","1632816952","20997770.6488 RBTC"
"3,722,686","2021/09/28 08:30:32 +02:00","1632810632","20997773.6920 RBTC"
"3,722,272","2021/09/28 04:36:35 +02:00","1632796595","20997813.6232 RBTC"
